Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Headline,Text,Media,Media Credit,Media Caption,Media Thumbnail,Type,Group,Background
,,,,,,,,,Jeff Sessions' Trump/Russia Entanglement Timeline,"An open sourced data timeline of Jeff Sessions and the events leading up to Pelosi calling out the <a href='https://pelosi.house.gov/news/press-releases/pelosi-statement-on-attorney-general-sessions-apparent-perjury-on-russian'>""apparent perjury""</a> by Jeff Sessions",https://i.ytimg.com/vi/QeQ44WzwSvo/maxresdefault.jpg,YouTube,,,title,,
2016,2,28,,,,,,,Sessions endorses Trump,Sessions is the first sitting senator to endorse Trump,http://v.politico.com/images/1155968404/201602/3473/1155968404_4779542144001_4779497393001-vs.jpg?pubId=1155968404,Politico,"<a href=""http://www.politico.com/story/2016/02/sen-jeff-sessions-endorses-trump-219939"" title=""Politico"">Politico: Sen. Jeff Sessions endorses Trump</a>",,,,
2016,3,3,,,,,,,Trump names Sessions chairman of national security committee,<a href='http://www.politico.com/blogs/2016-gop-primary-live-updates-and-results/2016/03/donald-trump-jeff-sessions-chairman-of-national-security-committee-220220'>Politico: Trump names Sessions chairman of national security committee</a>,http://static2.politico.com/dims4/default/94094ca/2147483647/resize/1160x%3E/quality/90/?url=http%3A%2F%2Fstatic.politico.com%2F79%2F59%2F68288ba342ef8f3d02829a18188f%2F160303-jeff-sessions-donald-trump-ap-1160.jpg,Politico,,,,,
2016,4,27,,,,,,,Trump greets Kislyak,"<div class=""getty embed image"" style=""background-color:#fff;display:inline-block;font-family:'Helvetica Neue',Helvetica,Arial,sans-serif;color:#a7a7a7;font-size:11px;width:100%;max-width:594px;""><div style=""padding:0;margin:0;text-align:left;""><a href=""http://www.gettyimages.com/detail/524985356"" target=""_blank"" style=""color:#a7a7a7;text-decoration:none;font-weight:normal !important;border:none;display:inline-block;"">Embed from Getty Images</a></div><div style=""overflow:hidden;position:relative;height:0;padding:66.498316% 0 0 0;width:100%;""><iframe src=""//embed.gettyimages.com/embed?assets=524985356,524974748,524992824,524992826,524984756&et=SMyGHLwzTpdgYTr95O514w&viewMoreLink=on&sig=64YNmq-5Z92aO2FA2HJeuOo7Dwi7IHZFj-SICE9Kgu0=&caption=true"" width=""594"" height=""395"" scrolling=""no"" frameborder=""0"" style=""display:inline-block;position:absolute;top:0;left:0;width:100%;height:100%;margin:0;""></iframe></div><p style=""margin:0;""></p></div><a href='https://www.wsj.com/articles/donald-trump-goes-his-own-way-with-vladimir-putin-1463172396'></a><br><a href='https://thinkprogress.org/trump-personally-met-with-russian-ambassador-during-campaign-cc59ae305032'>ThinkProgress: Trump personally met with Russian ambassador during campaign</a>",,,,,,,
2016,7,18,,,,,,mid-July,Sessions meets Kislyak at RNC,<a href='https://www.wsj.com/articles/jeff-sessions-used-political-funds-for-republican-convention-expenses-1488509301'>WSJ: Jeff Sessions Used Political Funds for Republican Convention Expenses</a>,http://i2.cdn.cnn.com/cnnnext/dam/assets/170302125250-01-jeff-sessions-sergey-kislyak-split-0302-exlarge-169.jpg,CNN,<a href='http://www.cnn.com/2017/03/01/politics/jeff-sessions-russian-ambassador-meetings/'>via CNN</a>,,,,
2016,7,23,,,,,,,Wikileaks Releases DNC Emails,,https://twitter.com/wikileaks/status/756465396421652481,,,,,,http://i2.cdn.cnn.com/cnnnext/dam/assets/160726150052-julian-assange-dnc-emails-chance-interview-00000124-large-169.jpg
2016,9,8,,,,,,,Sessions Meets Kislyak in His Office,"<a href='https://thinkprogress.org/session-russian-ambassador-meeting-september-86388c6a56c5'>The suspicious circumstances of Sessions’ second meeting with the Russian ambassador</a> by Aaron Rupar, ThinkProgress          <br><a href='https://docs.google.com/spreadsheets/d/1PwXi1OIZ57PmOAWdLf3IQ-VYBXpnOFwtDb9SKyNvwOo/edit#gid=0'>Vox notes:</a> they met ""at his office on the same day that Trump’s views of Russia were a major news story.""","https://www.google.com/maps/search/Russell+Senate+Office+Building,+Washington,+DC+20510/@38.8929887,-77.0067519,18z/data=!3m1!4b1",,,,,,
2016,10,10,,,,,,,"Sessions Defends ""Locker Room Talk""",Sessions argues it has not been proven that his client is guilty of sexual assault.,https://www.youtube.com/watch?v=Q2qrYzL5s0A,,,,,,
2017,2,7,,,,,,,Senator Warren silenced for criticizing Sessions,<a href='http://www.npr.org/sections/the two-way/2017/02/08/514085145/read-coretta-scott-kings-letter-that-got-sen-elizabeth-warren-silenced'>NPR: Read Coretta Scott King's Letter That Got Sen. Elizabeth Warren Silenced</a> ,https://www.youtube.com/watch?v=Vla6YNewfXg,Business Insider,BI: Republicans silenced Elizabeth Warren while debating Jeff Sessions' nomination,,,,
2017,1,10,,,,,,,"Sessions: ""I did not have communications with the Russians.""",Franken quizzes Sessions during confirmation hearings: “I’m not aware of any of those activities… I have been called a surrogate at a time or two in that campaign and I did not have communications with the Russians.”,https://www.youtube.com/watch?v=PC_Ea3jgANo,C-SPAN,"Jeff Sessions: ""I did not have communications with the Russians."" (C-SPAN)",,,,
2017,1,17,,,,,,,Leahy writes Sessions,"Leahy asks Sessions: Have you been in contact with anyone connected to any part of the Russian government about the 2016 election, either before or after election day?<br><br>
RESPONSE: No.",https://www.judiciary.senate.gov/imo/media/doc/Sessions%20Responses%20to%20Leahy%20QFRs.pdf,Senator Patrick J. Leahy,<a href='https://www.judiciary.senate.gov/imo/media/doc/Sessions%20Responses%20to%20Leahy%20QFRs.pdf'>Nomination of Jeff Sessions to be Attorney General of the United States Questions for the Record</a>,,,,
2017,2,8,,,,,,,Sessions is Confirmed as Attorney General,,http://media.globalnews.ca/videostatic/673/151/Trump_Sessions_Swearing_in_qtp_848x480_873659459782.jpg,,,,,,
2017,3,2,,,,,,,Sessions Recuses Himself,Sessions holds press conference wherein he recuses himself,https://www.youtube.com/watch?v=Ata9K1eopvM,NBC News,https://www.youtube.com/watch?v=Ata9K1eopvM,,,,
2017,3,4,,,,,,,Next: Special Prosecutor?,"<a href='https://medium.com/@CAPAction/everything-you-need-to-know-about-russia-trump-and-the-attorney-general-856367e89e2b'>Everything You Need To Know About Russia, Trump, And The Attorney General</a>
By Max Bergmann<br><a href='https://docs.google.com/spreadsheets/d/1PwXi1OIZ57PmOAWdLf3IQ-VYBXpnOFwtDb9SKyNvwOo/edit#gid=0'>How The Justice Department Could Investigate Jeff Sessions</a><br><b>More timelines:</b><br><a href='https://www.nytimes.com/interactive/2017/03/02/us/politics/sessions-russia-timeline.html?smid=fb-nytimes&smtyp=aut&bicmst=1409232722000&bicmet=1419773522000&bicmp=AD&bicmlukp=WT.mc_id'>NYT</a><br><a href='http://www.vox.com/policy-and-politics/2017/3/3/14792942/sessions-flynn-kislyak-timeline'>Vox</a><br><a href='https://www.axios.com/timeline-how-russian-contact-doomed-2-trump-aides-2294936423.html'>Axios</a><br>",https://cdn-images-1.medium.com/max/1200/1*cmqRe7CbNQqF7RJKST1kFA.png,Max Bergmann,,,,,
,,,,,,,,,,,,,,,,,
2017,3,2,,,,,,,Dana Boente takes over any investigations?,"After Sessions recuses himself, who would be in charge of any investigations?",https://soundcloud.com/times-the-brief/jeff-sessions-recused-himself,TIME's The Brief,Jeff Sessions Recused Himself. So Who’s in Charge of Trump Investigations Now?,,,,
2017,1,3,,,,,,,Trump derides intelligence,,https://twitter.com/realDonaldTrump/status/816452807024840704,FOX News,Bret Baier interviews Jeff Sessions,,,,http://mytoba.ca/content/uploads/2015/12/crop_620x350_20151208_408PM.jpg
2016,12,,,,,,,,,Jeff Sessions Omits Decades Of Records For His AG Confirmation Hearing,http://www.huffingtonpost.com/entry/jeff-sessions-attorney-general_us_586680bce4b0eb58648909c8,,,,,,